family,fund,regime,mode,im_regime,im_mode,im_flat,reanchor,scenario,c,seed,drawdown,client_defaults,cm_defaults,bcm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,mutualised_l4,total_df,ccp_cash_used,im_open,im_peak,im_trough,im_mean,im_peak_to_trough,im_max_jump_pct,im_responsiveness,error
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,1.0,43,-18.783341551979206,0,0,0,0,0,0,0,506803208.66021,0.0,1722369012.9939287,6545001046.318315,1722369012.9939287,5223834746.237473,3.7999993015093714,0.7915974237427101,2.224195608976807,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,1.25,43,-22.87174429551262,5,0,0,0,2,0,0,719461597.583079,1730757.669453621,1603937704.490276,9576331250.175135,1603937704.490276,7146292307.000269,5.970513208440629,0.8972742196532506,3.9483558608801554,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,2.5,43,-40.529878513471104,21,0,0,0,3,1,0,1565752687.635649,-14057476.748737335,1628679273.4095736,20094808341.964867,1628679273.4095736,13566977361.66189,12.338100367604731,0.8572822698831188,9.006485479539453,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,2.75,43,-43.52445420719954,25,0,0,0,3,1,0,1795001810.22896,29987353.96819496,1960693017.08807,23639431516.303288,1960693017.08807,15542828890.566868,12.056671447431109,0.8080671759058748,8.782930792167987,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,3.0,43,-46.384542968574884,39,0,0,0,3,1,0,1979398416.8193643,-856560560.8054056,1811351815.626048,25471762546.86504,1811351815.626048,17156965064.256847,14.062294429567437,0.9218326986114436,10.376108986078926,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,3.5,43,-51.63849912583493,43,0,0,0,3,1,0,2249292130.8723965,-1182902895.3164253,2147671301.327379,28726397099.107586,2147671301.327379,19559926925.99123,13.375602254103358,0.8902022717177742,9.830631092365662,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,1.5,43,-26.812211413457653,9,0,0,0,2,0,0,852206784.4637481,26756675.739689827,1727591038.7847354,10682671533.121521,1727591038.7847354,7743795507.235197,6.183565029740018,0.6346170507122937,4.11759480503388,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,1.75,43,-30.515084950912275,17,0,0,0,2,0,0,1095807371.266295,80590940.25302505,1756793618.1370564,13615294165.129894,1756793618.1370564,9402647576.904408,7.750081753807747,0.7692126314026577,5.361966407977479,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,2.0,43,-34.01174519209217,21,0,0,0,2,0,0,1278158506.2723737,-21213871.19276333,1661967701.1199293,16005649806.322105,1661967701.1199293,11137786867.34677,9.630542034924373,0.7784030641871111,6.855720887794765,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,2.25,43,-37.36495270542879,20,0,0,0,2,0,0,1417885654.6889994,63525040.4048233,1726112607.4106734,17909203284.921608,1726112607.4106734,12140822357.984344,10.375454769307924,0.9481855664978565,7.447446618581078,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,1.75,43,-30.515084950912275,13,0,0,0,0,0,0,606896692.793853,0.0,6422514207.091192,12305463762.97855,6422514207.091192,10882828419.787798,1.9159885624529887,0.34590767554532964,0.7276208023990096,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,2.0,43,-34.007262294347065,22,0,0,0,0,0,0,565820607.0378183,0.0,6746638615.78522,11716562141.091072,6746638615.78522,10625951662.806812,1.7366518066756444,0.25757149290996684,0.5851636151728934,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,2.25,43,-37.378401398664096,24,0,0,0,0,0,0,560617425.4883676,0.0,6177367154.52421,11848091046.235996,6177367154.52421,10549437940.277714,1.9179839484785415,0.3662673061498958,0.7292058488073626,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,2.5,43,-40.53884430896131,26,0,0,0,0,0,0,624238107.3879578,0.0,6189350936.315095,11532827041.63812,6189350936.315095,10392412840.278107,1.8633338390898107,0.28175592909796365,0.685794218930529,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,4.0,43,-56.36347334917291,52,0,0,0,4,1,1,2675955540.397734,-1294206861.4415665,2158153731.8689184,33102954042.220078,2158153731.8689184,22242425145.825672,15.338552371592906,0.8668930505803525,11.389911849902719,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,1.0,43,-18.7788586542341,0,0,0,0,0,0,0,609262421.1956033,0.0,7335752476.74612,12478777923.92646,7335752476.74612,11232278231.026222,1.7010903739573289,0.25872988210985115,0.5569151858042274,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,1.25,43,-22.925539068453848,5,0,0,0,0,0,0,639479242.2417696,0.0,6546903354.285001,12448812697.256874,6546903354.285001,11134848829.500116,1.9014810550256598,0.35673806709061573,0.7160966801252401,
