exp,regime,seed,direct,margin,netting,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
H2,calm,44,False,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,6831197319.375001,0.0,0.0,14880216783.38346,18460153125.0
H2,calm,45,False,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,5288029312.5,0.0,0.0,14055093925.37594,16957448437.5
H2,calm,46,False,reactive,gross,False,-0.6241437052823873,0,1,1,0,False,False,7121724742.687501,0.0,0.0,11845944198.101503,14367537225.0
H2,calm,47,False,reactive,gross,False,-0.5784746536763641,0,1,1,0,False,False,6866138942.437501,0.0,0.0,13574931421.466166,16298917740.0
H2,calm,48,False,reactive,gross,False,-0.6038463490130375,0,0,0,0,False,False,6994540061.437501,0.0,0.0,14676049215.845865,18097334482.5
H2,calm,49,False,reactive,gross,False,-0.6444410615517371,0,1,1,0,False,False,7363115669.250001,0.0,0.0,13768786411.2406,16772906925.0
H2,calm,50,False,reactive,gross,False,-0.5886233318110334,0,0,0,0,False,False,5218469350.875,0.0,0.0,12701512716.597744,15448494150.0
H2,calm,51,False,reactive,gross,False,-0.5785920925747368,0,0,0,0,False,False,6420405092.062501,0.0,0.0,15271989982.105263,18257485522.5
H2,calm,52,False,reactive,gross,False,-0.5784746536763641,0,0,0,0,False,False,5182127725.5,0.0,0.0,14087162945.131578,16795222470.0
H2,calm,53,False,reactive,gross,False,-0.5581772974070143,0,1,1,0,False,False,6139978119.000001,0.0,0.0,13433982838.984962,16059814200.0
H2,calm,54,False,reactive,gross,False,-0.6089515883487273,0,0,0,0,False,False,6052477519.687501,0.0,0.0,12266139202.951128,14605907377.5
H2,calm,55,False,reactive,gross,False,-0.6038463490130375,0,0,0,0,False,False,6060811618.125001,0.0,0.0,13312508119.342106,16223101897.5
H2,calm,56,False,reactive,gross,False,-0.6241437052823873,0,0,0,0,False,False,6531675919.312501,0.0,0.0,14918514276.31579,18233056800.0
H2,calm,57,False,reactive,gross,False,-0.5988023952095856,0,0,0,0,False,False,6008731777.125001,0.0,0.0,12345091264.285715,14802858900.0
H2,calm,58,False,reactive,gross,False,-0.5633659848753969,0,0,0,0,False,False,6271224460.875001,0.0,0.0,13994833698.43985,17959421092.5
H2,calm,59,False,reactive,gross,False,-0.5632802192225728,0,0,0,0,False,False,6885991257.750001,0.0,0.0,13240746663.834587,16464272625.0
H2,calm,60,False,reactive,gross,False,-0.5734003146090183,0,1,1,0,False,False,6334209380.812501,0.0,0.0,13480154742.18045,16328887200.0
H2,calm,61,False,reactive,gross,False,-0.5836674618078463,0,0,0,0,False,False,6137324331.187501,0.0,0.0,14806029671.221804,17774667540.0
H2,calm,62,False,reactive,gross,False,-0.5836674618078463,0,0,0,0,False,False,6850991849.625001,0.0,0.0,15078270613.87218,18130148325.0
H2,calm,63,False,reactive,gross,False,-0.5734003146090183,0,0,0,0,False,False,6098346570.937501,0.0,0.0,13808460855.6203,16966955655.0
H2,calm,64,False,reactive,gross,False,-0.5784746536763641,0,0,0,0,False,False,6451012297.125001,0.0,0.0,14609032214.718044,18781303590.0
H2,calm,65,False,reactive,gross,False,-0.5936976708783681,0,1,1,0,False,False,6639111307.125001,0.0,0.0,13095261453.552631,16009074922.5
H2,calm,66,False,reactive,gross,False,-0.5684413541085065,0,0,0,0,False,False,6656353716.375001,0.0,0.0,16665611217.969925,20060221905.0
H2,calm,67,False,reactive,gross,False,-0.578504008931291,0,0,0,0,False,False,6309938039.625001,0.0,0.0,12287099291.278196,14609391390.0
H2,calm,68,False,reactive,gross,False,-0.5987720099457028,0,0,0,0,False,False,6420013293.375001,0.0,0.0,14625799261.917294,18580205925.0
H2,calm,69,False,reactive,gross,False,-0.5886532020704327,0,0,0,0,False,False,5915433645.000001,0.0,0.0,14867159807.537594,17953566412.5
H2,calm,70,False,reactive,gross,False,-0.5835786055008674,0,0,0,0,False,False,6666833992.500001,0.0,0.0,15067507646.334587,18716868000.0
H2,calm,71,False,reactive,gross,False,-0.5633659848753969,0,0,0,0,False,False,7320411635.625001,0.0,0.0,15511554726.428572,19806655725.0
H2,calm,72,False,reactive,gross,False,-0.6241437052823873,0,0,0,0,False,False,5547998350.125,0.0,0.0,13200620550.225563,16723478767.5
H2,calm,73,False,reactive,gross,False,-0.5784746536763641,0,0,0,0,False,False,6878937544.875001,0.0,0.0,14346924893.1203,17524722892.5
H2,calm,74,False,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,6992641321.875001,0.0,0.0,15918596285.582706,19256035950.0
H2,calm,75,False,reactive,gross,False,-0.5481955230698943,0,0,0,0,False,False,6060314978.437501,0.0,0.0,13885055669.097744,17214200955.0
H2,calm,76,False,reactive,gross,False,-0.5835786055008674,0,0,0,0,False,False,6579234956.250001,0.0,0.0,14615022227.481203,17793700942.5
H2,calm,77,False,reactive,gross,False,-0.558318952390624,0,0,0,0,False,False,6826700331.000001,0.0,0.0,14776703703.101503,19162804500.0
H2,calm,78,False,reactive,gross,False,-0.563251636474349,0,1,1,0,False,False,5964068842.875001,0.0,0.0,12445487796.992481,16647567930.0
H2,calm,79,False,reactive,gross,False,-0.5936976708783681,0,0,0,0,False,False,6083850019.500001,0.0,0.0,14506460387.424812,17331282180.0
H2,calm,80,False,reactive,gross,False,-0.5735167233416272,0,0,0,0,False,False,6803697940.875001,0.0,0.0,14806439061.93609,18010989000.0
