ts,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,symbol
2020-05-24 19:01:00+00:00,2921.5,2990.0,1,1,ESZ0
2020-05-24 19:01:00+00:00,2956.0,2956.5,3,2,ESM0
2020-05-24 19:01:00+00:00,2927.0,2949.75,3,1,ESU0
2020-05-24 19:01:00+00:00,2630.0,2950.0,1,1,ESH1
2020-05-25 13:30:00+00:00,2985.5,2985.75,25,18,ESM0
2020-05-25 13:30:00+00:00,2970.0,2972.25,1,1,ESZ0
2020-05-25 13:30:00+00:00,2975.75,2976.5,1,1,ESU0
2020-05-25 13:31:00+00:00,2975.75,2976.5,1,1,ESU0
2020-05-25 13:31:00+00:00,2970.0,2972.25,1,1,ESZ0
2020-05-25 13:31:00+00:00,2985.5,2985.75,45,22,ESM0
2020-05-25 13:32:00+00:00,2984.75,2985.0,28,8,ESM0
2020-05-25 13:32:00+00:00,2969.25,2971.5,1,1,ESZ0
2020-05-25 13:32:00+00:00,2975.0,2975.75,1,2,ESU0
2020-05-25 13:33:00+00:00,2974.5,2975.25,1,2,ESU0
2020-05-25 13:33:00+00:00,2968.75,2971.0,1,1,ESZ0
2020-05-25 13:33:00+00:00,2984.25,2984.5,13,29,ESM0
2020-05-25 13:34:00+00:00,2984.25,2984.5,32,24,ESM0
2020-05-25 13:34:00+00:00,2968.75,2971.0,1,1,ESZ0
2020-05-25 13:34:00+00:00,2974.5,2975.25,1,2,ESU0
2020-05-25 13:35:00+00:00,2973.75,2974.5,1,1,ESU0
2020-05-25 13:35:00+00:00,2968.0,2970.25,1,1,ESZ0
2020-05-25 13:35:00+00:00,2983.5,2983.75,23,20,ESM0
2020-05-25 13:36:00+00:00,2984.5,2985.0,25,26,ESM0
2020-05-25 13:36:00+00:00,2969.0,2971.5,1,1,ESZ0
2020-05-25 13:36:00+00:00,2974.75,2975.75,1,2,ESU0
2020-05-25 13:37:00+00:00,2974.5,2975.25,1,2,ESU0
2020-05-25 13:37:00+00:00,2968.75,2971.0,1,1,ESZ0
2020-05-25 13:37:00+00:00,2984.25,2984.5,25,29,ESM0
2020-05-25 13:38:00+00:00,2984.25,2984.5,6,21,ESM0
2020-05-25 13:38:00+00:00,2968.75,2971.0,1,1,ESZ0
2020-05-25 13:38:00+00:00,2974.5,2975.0,1,1,ESU0
2020-05-25 13:39:00+00:00,2974.75,2975.5,1,1,ESU0
2020-05-25 13:39:00+00:00,2969.0,2971.25,1,1,ESZ0
2020-05-25 13:39:00+00:00,2984.5,2984.75,16,21,ESM0
2020-05-25 13:40:00+00:00,2985.0,2985.25,32,6,ESM0
2020-05-25 13:40:00+00:00,2969.5,2971.75,1,1,ESZ0
2020-05-25 13:40:00+00:00,2975.25,2976.0,1,1,ESU0
2020-05-25 13:41:00+00:00,2975.5,2976.25,1,2,ESU0
2020-05-25 13:41:00+00:00,2969.75,2972.0,1,1,ESZ0
2020-05-25 13:41:00+00:00,2985.25,2985.5,38,17,ESM0
2020-05-25 13:42:00+00:00,2984.75,2985.0,32,12,ESM0
2020-05-25 13:42:00+00:00,2969.25,2971.5,1,1,ESZ0
2020-05-25 13:42:00+00:00,2975.0,2975.75,1,1,ESU0
2020-05-25 13:43:00+00:00,2975.0,2975.75,1,1,ESU0
2020-05-25 13:43:00+00:00,2969.25,2971.5,1,1,ESZ0
2020-05-25 13:43:00+00:00,2984.75,2985.0,16,19,ESM0
2020-05-25 13:44:00+00:00,2984.0,2984.25,18,114,ESM0
2020-05-25 13:44:00+00:00,2968.5,2970.75,1,1,ESZ0
2020-05-25 13:44:00+00:00,2974.25,2975.0,1,1,ESU0
2020-05-25 13:45:00+00:00,2974.0,2974.75,1,1,ESU0
2020-05-25 13:45:00+00:00,2968.25,2970.5,1,1,ESZ0
2020-05-25 13:45:00+00:00,2983.75,2984.0,46,12,ESM0
2020-05-25 13:46:00+00:00,2983.5,2983.75,25,36,ESM0
2020-05-25 13:46:00+00:00,2968.0,2970.25,1,1,ESZ0
2020-05-25 13:46:00+00:00,2973.75,2974.5,1,1,ESU0
2020-05-25 13:47:00+00:00,2973.75,2974.5,1,1,ESU0
2020-05-25 13:47:00+00:00,2968.0,2970.25,1,1,ESZ0
2020-05-25 13:47:00+00:00,2983.5,2983.75,8,38,ESM0
2020-05-25 13:48:00+00:00,2983.0,2983.25,41,19,ESM0
2020-05-25 13:48:00+00:00,2967.5,2969.75,1,1,ESZ0
2020-05-25 13:48:00+00:00,2973.25,2974.0,1,1,ESU0
2020-05-25 13:49:00+00:00,2973.75,2974.5,1,1,ESU0
2020-05-25 13:49:00+00:00,2968.0,2970.25,1,1,ESZ0
2020-05-25 13:49:00+00:00,2983.5,2983.75,34,155,ESM0
2020-05-25 13:50:00+00:00,2983.5,2983.75,35,56,ESM0
2020-05-25 13:50:00+00:00,2968.0,2970.25,1,1,ESZ0
2020-05-25 13:50:00+00:00,2973.75,2974.5,1,1,ESU0
2020-05-25 13:51:00+00:00,2975.25,2976.0,1,2,ESU0
2020-05-25 13:51:00+00:00,2969.5,2971.75,1,1,ESZ0
2020-05-25 13:51:00+00:00,2985.0,2985.25,42,14,ESM0
2020-05-25 13:52:00+00:00,2985.0,2985.25,14,29,ESM0
2020-05-25 13:52:00+00:00,2969.5,2971.75,1,1,ESZ0
2020-05-25 13:52:00+00:00,2975.25,2976.0,1,2,ESU0
2020-05-25 13:53:00+00:00,2975.75,2976.5,1,3,ESU0
2020-05-25 13:53:00+00:00,2970.0,2972.25,1,1,ESZ0
2020-05-25 13:53:00+00:00,2985.5,2985.75,23,30,ESM0
2020-05-25 13:54:00+00:00,2984.75,2985.0,49,34,ESM0
2020-05-25 13:54:00+00:00,2969.25,2971.5,1,1,ESZ0
2020-05-25 13:54:00+00:00,2975.0,2975.75,1,1,ESU0
2020-05-25 13:55:00+00:00,2975.25,2976.0,1,2,ESU0
2020-05-25 13:55:00+00:00,2969.5,2971.75,1,1,ESZ0
2020-05-25 13:55:00+00:00,2985.0,2985.25,26,22,ESM0
2020-05-25 13:56:00+00:00,2985.25,2985.75,36,55,ESM0
2020-05-25 13:56:00+00:00,2969.75,2972.25,1,1,ESZ0
2020-05-25 13:56:00+00:00,2975.75,2976.5,1,2,ESU0
2020-05-25 13:57:00+00:00,2975.5,2976.25,1,1,ESU0
2020-05-25 13:57:00+00:00,2969.75,2972.0,1,1,ESZ0
2020-05-25 13:57:00+00:00,2985.25,2985.5,11,25,ESM0
2020-05-25 13:58:00+00:00,2985.25,2985.5,31,26,ESM0
2020-05-25 13:58:00+00:00,2969.75,2972.0,1,1,ESZ0
2020-05-25 13:58:00+00:00,2975.5,2976.25,1,1,ESU0
2020-05-25 13:59:00+00:00,2975.0,2975.75,1,1,ESU0
2020-05-25 13:59:00+00:00,2969.25,2971.5,1,1,ESZ0
2020-05-25 13:59:00+00:00,2984.75,2985.0,44,18,ESM0
2020-05-25 14:00:00+00:00,2985.0,2985.25,18,20,ESM0
2020-05-25 14:00:00+00:00,2969.5,2971.75,1,1,ESZ0
2020-05-25 14:00:00+00:00,2975.25,2976.0,1,2,ESU0
2020-05-25 14:01:00+00:00,2975.0,2975.75,1,1,ESU0
2020-05-25 14:01:00+00:00,2969.25,2971.5,1,1,ESZ0
2020-05-25 14:01:00+00:00,2984.75,2985.0,46,13,ESM0
2020-05-25 14:02:00+00:00,2984.5,2984.75,25,18,ESM0
2020-05-25 14:02:00+00:00,2969.0,2971.25,1,1,ESZ0
2020-05-25 14:02:00+00:00,2974.75,2975.5,1,1,ESU0
