member_id,is_banking,is_client,deficit,level,L1_own_df,L2_sitg,L3_pooled_df,L4_survivor_cash,L5_ccp_cash,mutualised,regime,seed,margin
101,False,False,3246744395.6739197,3,961976482.1609478,458777717.64000005,1825990195.8729718,0.0,0.0,1825990195.8729718,stressed,81,flat12
101,False,False,1031567397.0534983,3,260128886.42440668,339890215.5,431548295.1290916,0.0,0.0,431548295.1290916,stressed,85,flat12
100,False,False,3284979128.960058,3,947975269.8406966,414002639.82000005,1923001219.2993617,0.0,0.0,1923001219.2993617,stressed,86,flat12
102,False,False,2218538213.1627564,3,649787985.8509588,413805223.92,1154945003.3917975,0.0,0.0,1154945003.3917975,stressed,89,flat12
101,False,False,2488165785.039258,3,842487046.0671461,409688652.12000006,1235990086.8521118,0.0,0.0,1235990086.8521118,stressed,89,flat12
101,False,False,2171537956.1417975,3,492750266.96895796,320755010.4,1358032678.7728395,0.0,0.0,1358032678.7728395,stressed,90,flat12
103,False,False,715189882.6738182,3,225864809.40934688,336950386.74,152374686.52447134,0.0,0.0,152374686.52447134,stressed,93,flat12
102,False,False,841332381.4577143,3,272361220.0742739,313848630.47999996,255122530.90344054,0.0,0.0,255122530.90344054,stressed,98,flat12
101,False,False,2509797867.847562,3,929198513.7324015,298789365.59999996,1281809988.5151606,0.0,0.0,1281809988.5151606,stressed,98,flat12
101,False,False,2403821622.5372257,3,578229645.841886,350881534.08,1474710442.6153398,0.0,0.0,1474710442.6153398,stressed,100,flat12
101,False,False,1469347657.3067837,3,381549069.7042027,425104818.6,662693769.002581,0.0,0.0,662693769.002581,stressed,104,flat12
103,False,False,749430703.9189925,3,252448522.16189918,420698691.6,76283490.15709329,0.0,0.0,76283490.15709329,stressed,105,flat12
104,False,False,757824114.8562859,3,316934475.8567734,424135958.40000004,16753680.599512517,0.0,0.0,16753680.599512517,stressed,105,flat12
102,False,False,875002292.4444797,3,331502547.1450612,473573592.36,69926152.93941844,0.0,0.0,69926152.93941844,stressed,106,flat12
100,False,False,725294566.2727878,3,236046138.62932009,376694915.52000004,112553512.12346768,0.0,0.0,112553512.12346768,stressed,106,flat12
101,False,False,740343224.8174933,3,179656650.90784177,315972350.76,244714223.14965153,0.0,0.0,244714223.14965153,stressed,113,flat12
102,False,False,1688459541.2219574,3,435230439.803135,325730954.34,927498147.0788226,0.0,0.0,927498147.0788226,stressed,113,flat12
104,False,False,2531593765.5105896,3,868555779.1038697,454442650.20000005,1208595336.2067199,0.0,0.0,1208595336.2067199,stressed,114,flat12
101,False,False,2024199981.7986827,3,595889217.3452246,451621170.00000006,976689594.4534581,0.0,0.0,976689594.4534581,stressed,114,flat12
101,False,False,894477391.2925807,3,250083698.29813775,379218289.56000006,265175403.43444288,0.0,0.0,265175403.43444288,stressed,116,flat12
104,False,False,650025107.8219266,3,237794366.07475272,354008788.32,58221953.42717391,0.0,0.0,58221953.42717391,stressed,118,flat12
103,False,False,1703820725.6878881,3,405695709.087606,423332647.32000005,874792369.2802821,0.0,0.0,874792369.2802821,stressed,118,flat12
