regime,t,mtype,metric,p50,p25,p75
stressed,21959,BCMc,maintenance_margin,3417010412.120835,2610092536.11642,4160191913.9033775
stressed,21959,BCMo,cash,2838236885.831746,1939161083.378645,9080946294.906584
stressed,21959,BCMo,df_contribution,96033447.27441838,69187329.86306679,204138074.79309902
stressed,21959,BCMo,maintenance_margin,893272866.0322156,637640489.5514231,1892416346.0355616
stressed,21959,NBCM,cash,1783815282.9565425,1240709689.8005028,2303896623.7584677
stressed,21959,NBCM,df_contribution,59861584.64077239,35605797.55236961,115536130.004769
stressed,21959,NBCM,maintenance_margin,553060541.6526364,329911980.2019961,1011538114.5201671
stressed,22019,BCMc,cash,5531737052.071716,4412208035.029047,7627981377.111481
stressed,22019,BCMc,df_contribution,360808556.5394155,286787676.5675982,467970544.6809001
stressed,22019,BCMc,maintenance_margin,3370799872.808373,2601723872.174952,4215350469.771974
stressed,22019,BCMo,cash,2843287291.8986855,1959786112.416563,9116129677.440285
stressed,22019,BCMo,df_contribution,96033447.27441838,69187329.86306679,204138074.79309902
stressed,22019,BCMo,maintenance_margin,909846345.2524838,634911659.9722328,1888099576.169221
stressed,22019,NBCM,cash,1783815282.9565425,1240709689.8005028,2303896623.7584677
stressed,22019,NBCM,df_contribution,59861584.64077239,35605797.55236961,115536130.004769
stressed,22019,NBCM,maintenance_margin,541175448.4624959,318408501.35269153,989574500.0618782
stressed,22079,BCMc,cash,5494059975.62776,4381631482.505002,7620110776.838911
stressed,22079,BCMc,df_contribution,360808556.5394155,286787676.5675982,467970544.6809001
stressed,22079,BCMc,maintenance_margin,3346970456.371647,2567233545.8320136,4228982345.923355
stressed,22079,BCMo,cash,2789308201.6889358,1926843016.4936748,9145266486.382235
stressed,22079,BCMo,df_contribution,96033447.27441838,69187329.86306679,204138074.79309902
stressed,22079,BCMo,maintenance_margin,905596671.5032063,643830603.15432,1896530651.0916471
stressed,22079,NBCM,cash,1783815282.9565425,1240709689.8005028,2303896623.7584677
stressed,22079,NBCM,df_contribution,59861584.64077239,35605797.55236961,115536130.004769
stressed,22079,NBCM,maintenance_margin,536404282.49444073,320165434.2921508,980781658.8015709
stressed,22139,BCMc,cash,5494252772.840098,4404514599.452251,7632081032.623283
stressed,22139,BCMc,df_contribution,360808556.5394155,286787676.5675982,467970544.6809001
stressed,22139,BCMc,maintenance_margin,3372625792.479465,2591937181.7557406,4226777854.8348765
stressed,22139,BCMo,cash,2838335129.1054654,1955503925.0016456,9145091646.766397
stressed,22139,BCMo,df_contribution,96033447.27441838,69187329.86306679,204138074.79309902
stressed,22139,BCMo,maintenance_margin,903591674.7520919,631052643.0834758,1920138589.6215968
