t,agent_id,mtype,capital_ratio,regime
17159,100,NBCM,0.2865592484799147,stressed
17159,101,NBCM,0.4506091343421796,stressed
17159,102,NBCM,0.07320117703832167,stressed
17159,103,NBCM,0.07439509710503169,stressed
17159,104,NBCM,0.33564944332572433,stressed
17219,30,BCMc,0.1176982373624309,stressed
17219,31,BCMc,0.08630385492577661,stressed
17219,32,BCMc,0.09626179918878609,stressed
17219,33,BCMc,0.11942091751723731,stressed
17219,34,BCMc,0.0981902666733567,stressed
17219,35,BCMo,0.1775471131668602,stressed
17219,36,BCMo,0.20024162593613365,stressed
17219,37,BCMo,0.20345781086377937,stressed
17219,38,BCMo,0.20192356256611216,stressed
17219,39,BCMo,0.21786955959601026,stressed
17219,100,NBCM,0.2672902087467353,stressed
17219,101,NBCM,0.45739208540460713,stressed
17219,102,NBCM,0.0725242708410135,stressed
17219,103,NBCM,0.0738464536497583,stressed
17219,104,NBCM,0.36160215294918713,stressed
17279,30,BCMc,0.11571994595995412,stressed
17279,31,BCMc,0.08454456294225728,stressed
17279,32,BCMc,0.0935607010722199,stressed
17279,33,BCMc,0.11870379484445528,stressed
17279,34,BCMc,0.1002056035224756,stressed
17279,35,BCMo,0.1808364295219053,stressed
17279,36,BCMo,0.1982896971946704,stressed
17279,37,BCMo,0.19676769349591822,stressed
17279,38,BCMo,0.19748785494016394,stressed
17279,39,BCMo,0.21147348805382107,stressed
17279,100,NBCM,0.2686233426364537,stressed
17279,101,NBCM,0.4660033910980584,stressed
17279,102,NBCM,0.07270040492207054,stressed
17279,103,NBCM,0.0739506599608573,stressed
17279,104,NBCM,0.36012590735842176,stressed
17339,30,BCMc,0.11656489083270422,stressed
17339,31,BCMc,0.08392424884819041,stressed
17339,32,BCMc,0.09359008406431547,stressed
17339,33,BCMc,0.11910508912959343,stressed
17339,34,BCMc,0.10215524252603984,stressed
17339,35,BCMo,0.18035840076747683,stressed
17339,36,BCMo,0.20224415077327929,stressed
17339,37,BCMo,0.20296858278339378,stressed
17339,38,BCMo,0.2028741829008822,stressed
17339,39,BCMo,0.21181394549164684,stressed
17339,100,NBCM,0.2755306366724061,stressed
17339,101,NBCM,0.5082758027402656,stressed
17339,102,NBCM,0.07248031485479028,stressed
17339,103,NBCM,0.07382044794349434,stressed
17339,104,NBCM,0.3477722029631966,stressed
17399,30,BCMc,0.11786367415212701,stressed
17399,31,BCMc,0.08144406551507898,stressed
17399,32,BCMc,0.09225667167359868,stressed
17399,33,BCMc,0.11800830342715732,stressed
17399,34,BCMc,0.10036707313633782,stressed
17399,35,BCMo,0.19345023466756361,stressed
17399,36,BCMo,0.20033156395651056,stressed
17399,37,BCMo,0.2011815702375809,stressed
17399,38,BCMo,0.20005413327487528,stressed
17399,39,BCMo,0.21414792267611915,stressed
17399,100,NBCM,0.288891705833765,stressed
17399,101,NBCM,0.5014987822488453,stressed
17399,102,NBCM,0.07327824603116286,stressed
17399,103,NBCM,0.07413373042448879,stressed
17399,104,NBCM,0.3427516636948509,stressed
17459,30,BCMc,0.11705923547885781,stressed
17459,31,BCMc,0.07982675995453874,stressed
17459,32,BCMc,0.09189881002538704,stressed
17459,33,BCMc,0.11589973278679645,stressed
17459,34,BCMc,0.10126627238741015,stressed
17459,35,BCMo,0.19358404100923693,stressed
17459,36,BCMo,0.20189124435636993,stressed
17459,37,BCMo,0.20157821126806258,stressed
17459,38,BCMo,0.20203310055982912,stressed
17459,39,BCMo,0.21177730154362034,stressed
17459,100,NBCM,0.2823803314316188,stressed
17459,101,NBCM,0.5443529283806074,stressed
17459,102,NBCM,0.07303499080290285,stressed
17459,103,NBCM,0.07398981318916219,stressed
17459,104,NBCM,0.3449091907883987,stressed
17519,30,BCMc,0.11719339231223667,stressed
17519,31,BCMc,0.10432764708555571,stressed
17519,32,BCMc,0.09104424428488801,stressed
17519,33,BCMc,0.11347554002374344,stressed
17519,34,BCMc,0.09902336966995982,stressed
17519,35,BCMo,0.18772755302672195,stressed
17519,36,BCMo,0.20672583268712427,stressed
17519,37,BCMo,0.2070570901309787,stressed
17519,38,BCMo,0.20681071391752848,stressed
17519,39,BCMo,0.2027395735588317,stressed
17519,100,NBCM,0.27689134606940663,stressed
17519,101,NBCM,0.5377331278639196,stressed
17519,102,NBCM,0.07198447326546041,stressed
17519,103,NBCM,0.07336829487388376,stressed
17519,104,NBCM,0.32219216253857336,stressed
17579,30,BCMc,0.1199892350267701,stressed
17579,31,BCMc,0.10290543184706841,stressed
17579,32,BCMc,0.09033032016286559,stressed
17579,33,BCMc,0.11552500700311319,stressed
17579,34,BCMc,0.1047472680230358,stressed
17579,35,BCMo,0.19088011404274724,stressed
17579,36,BCMo,0.19647415312586822,stressed
17579,37,BCMo,0.19607069952943507,stressed
17579,38,BCMo,0.19669850351754556,stressed
17579,39,BCMo,0.20627045499095475,stressed
17579,100,NBCM,0.2851837703040797,stressed
17579,101,NBCM,0.5213935893621992,stressed
17579,102,NBCM,0.07274523676027175,stressed
17579,103,NBCM,0.07410467501086035,stressed
17579,104,NBCM,0.33141991829874873,stressed
17639,30,BCMc,0.11894027600952761,stressed
17639,31,BCMc,0.10107757141523449,stressed
17639,32,BCMc,0.09137953725163644,stressed
17639,33,BCMc,0.11828934762047777,stressed
17639,34,BCMc,0.1081728797114552,stressed
17639,35,BCMo,0.19846843469924258,stressed
17639,36,BCMo,0.19687970179601316,stressed
17639,37,BCMo,0.19692235478992448,stressed
17639,38,BCMo,0.19659044463999892,stressed
17639,39,BCMo,0.19957176630424395,stressed
17639,100,NBCM,0.29403073160642557,stressed
17639,101,NBCM,0.5137083061028356,stressed
17639,102,NBCM,0.07330479751229885,stressed
17639,103,NBCM,0.07443701219214367,stressed
17639,104,NBCM,0.33460597704813927,stressed
17699,30,BCMc,0.11696079040096721,stressed
17699,31,BCMc,0.09766647418385462,stressed
17699,32,BCMc,0.09038122892492602,stressed
17699,33,BCMc,0.11629610525634082,stressed
17699,34,BCMc,0.10953742586229265,stressed
17699,35,BCMo,0.20537065065561702,stressed
17699,36,BCMo,0.19828843737361562,stressed
17699,37,BCMo,0.1970338292405532,stressed
17699,38,BCMo,0.19737401630642418,stressed
17699,39,BCMo,0.1973965258603931,stressed
17699,100,NBCM,0.3105484858054039,stressed
17699,101,NBCM,0.5057383586544762,stressed
17699,102,NBCM,0.07386939979746847,stressed
17699,103,NBCM,0.074772343666554,stressed
17699,104,NBCM,0.3480448603142186,stressed
17759,30,BCMc,0.11749410467340503,stressed
17759,31,BCMc,0.09539064181036763,stressed
17759,32,BCMc,0.09046158057849134,stressed
17759,33,BCMc,0.11264101355275491,stressed
17759,34,BCMc,0.10698967228934662,stressed
17759,35,BCMo,0.20886745611827628,stressed
17759,36,BCMo,0.1968042007488828,stressed
17759,37,BCMo,0.1971037485771632,stressed
17759,38,BCMo,0.19704352885254314,stressed
17759,39,BCMo,0.19743225445875737,stressed
17759,100,NBCM,0.3104962285909124,stressed
17759,101,NBCM,0.5137570771296871,stressed
17759,102,NBCM,0.0743662151332296,stressed
17759,103,NBCM,0.07506741476957016,stressed
17759,104,NBCM,0.340670012220552,stressed
17819,30,BCMc,0.11473600561244143,stressed
17819,31,BCMc,0.09293866136410937,stressed
17819,32,BCMc,0.08731149231561276,stressed
17819,33,BCMc,0.10809665165436391,stressed
17819,34,BCMc,0.10445122715751573,stressed
17819,35,BCMo,0.2365304024021291,stressed
17819,36,BCMo,0.18346696694439277,stressed
17819,37,BCMo,0.18269620452682592,stressed
17819,38,BCMo,0.18348017951083959,stressed
17819,39,BCMo,0.18409715308559316,stressed
17819,100,NBCM,0.29180379821025354,stressed
17819,101,NBCM,0.512824523199883,stressed
17819,102,NBCM,0.07709473225580732,stressed
17819,103,NBCM,0.07661999480892992,stressed
17819,104,NBCM,0.3220997326949637,stressed
17879,30,BCMc,0.11629148948865506,stressed
17879,31,BCMc,0.09241822467214512,stressed
17879,32,BCMc,0.08884112173906614,stressed
17879,33,BCMc,0.10594844183029004,stressed
17879,34,BCMc,0.10416135435277034,stressed
17879,35,BCMo,0.24643937526864862,stressed
17879,36,BCMo,0.18065441987028252,stressed
17879,37,BCMo,0.17970822388703075,stressed
17879,38,BCMo,0.18198507443331385,stressed
17879,39,BCMo,0.18248339304574054,stressed
17879,100,NBCM,0.3015323655248192,stressed
17879,101,NBCM,0.5468762919590344,stressed
17879,102,NBCM,0.07800016238376022,stressed
17879,103,NBCM,0.07715775249740751,stressed
17879,104,NBCM,0.3252478336700165,stressed
17939,30,BCMc,0.11525311152383777,stressed
17939,31,BCMc,0.0907331454183115,stressed
17939,32,BCMc,0.09002873830000012,stressed
17939,33,BCMc,0.1050563653738807,stressed
17939,34,BCMc,0.10246475873921411,stressed
17939,35,BCMo,0.25921820785572935,stressed
17939,36,BCMo,0.17977910741312372,stressed
17939,37,BCMo,0.1759048190806312,stressed
17939,38,BCMo,0.18083424539270482,stressed
17939,39,BCMo,0.18019363272134334,stressed
17939,100,NBCM,0.29807855480302464,stressed
17939,101,NBCM,0.5383745690533949,stressed
17939,102,NBCM,0.07912286983990875,stressed
17939,103,NBCM,0.07782455664696679,stressed
17939,104,NBCM,0.33610494228219256,stressed
17999,30,BCMc,0.1162877004245908,stressed
17999,31,BCMc,0.08892594068538573,stressed
17999,32,BCMc,0.09213568765940773,stressed
17999,33,BCMc,0.10787421081440211,stressed
17999,34,BCMc,0.10383695876859199,stressed
17999,35,BCMo,0.25891486383476053,stressed
17999,36,BCMo,0.18529922119216735,stressed
