regime,t,p50,p25,p75,im_frac
calm,20759,20520972391.5,19509674211.0,21634729449.75,0.04
calm,20819,20530765480.5,19381860855.0,21452790444.75,0.04
calm,20879,20587043484.0,19374162959.25,21417105570.75,0.04
calm,20939,20593402240.5,19343348444.25,21400660203.75,0.04
calm,20999,20497777690.5,19272072633.75,21191311926.0,0.04
calm,21059,20443026420.0,19246554855.0,21145024858.5,0.04
calm,21119,20473557876.0,19344358723.5,21290369094.0,0.04
calm,21179,20319095884.5,19257608306.25,21116693749.5,0.04
calm,21239,20366314551.0,19335369084.75,21250695825.0,0.04
calm,21299,20454969339.0,19376821910.25,21298374580.5,0.04
calm,21359,20411915679.0,19172037116.25,21046229628.75,0.04
calm,21419,20317048263.0,19183906120.5,21162579527.25,0.04
calm,21479,20242430325.0,19066022959.5,20971771780.5,0.04
calm,21539,20274434545.5,19187499206.25,21032535156.75,0.04
calm,21599,20177805771.0,18982653972.75,21036499247.25,0.04
calm,21659,20116047744.0,19022264876.25,20969514326.25,0.04
calm,21719,20285813088.0,19213244145.0,21260111879.25,0.04
calm,21779,20406858313.5,19194058091.25,21350945769.75,0.04
calm,21839,20319123537.0,19146467542.5,21301952946.75,0.04
calm,21899,20333954578.5,19136611984.5,21313577967.75,0.04
calm,21959,20343479085.0,19065206146.5,21254002341.75,0.04
calm,22019,20354388345.0,19061396131.5,21360272953.5,0.04
calm,22079,20410686580.5,19136523071.25,21377197377.0,0.04
calm,22139,20371202622.0,19171136632.5,21423243082.5,0.04
calm,22199,20363047231.5,19148652729.0,21443871775.5,0.04
calm,22259,20402199625.5,19234811184.75,21405616643.25,0.04
calm,22319,20204815819.5,19117994937.75,21356704829.25,0.04
calm,22379,20293476889.5,19147689290.25,21292867521.0,0.04
calm,22439,20152365727.5,18987311504.25,21209690202.75,0.04
calm,22499,20335711365.0,19145951331.75,21253399537.5,0.04
calm,22559,20029189419.0,18849398969.25,21108517292.25,0.04
calm,22619,20173758916.5,19168258520.25,21052213618.5,0.04
calm,22679,20376911934.0,19244786193.0,21157872302.25,0.04
calm,22739,20384797846.5,19165928946.75,21206197392.75,0.04
calm,22799,20487562582.5,19269228186.0,21365616051.0,0.04
calm,22859,20209479979.5,18949293258.75,20932010401.5,0.04
calm,22919,20052309550.5,18982850184.0,20996782584.75,0.04
calm,22979,20122786156.5,19127657634.75,21179444253.75,0.04
calm,23039,20134318603.5,19094155231.5,21286962330.75,0.04
calm,23099,20175102391.5,19167733046.25,21328402068.0,0.04
calm,23159,20239408926.0,19249300647.0,21475676974.5,0.04
calm,23219,20106071208.0,19140485915.25,21352947401.25,0.04
calm,23279,20260260796.5,19281832960.5,21463411455.0,0.04
calm,23339,20494930824.0,19464433825.5,21689395546.5,0.04
calm,23399,20307757963.5,19357495006.5,21563429715.0,0.04
calm,23459,20316535443.0,19215569985.75,21325931948.25,0.04
calm,23519,20300567206.5,19238203539.0,21271166941.5,0.04
calm,23579,20238247246.5,19188827185.5,21236993426.25,0.04
calm,23639,20289285355.5,19288723938.75,21455282841.75,0.04
calm,23699,20363467162.5,19061905189.5,21242006097.75,0.04
calm,23759,20236978242.0,18924512310.0,20968003221.75,0.04
calm,23819,20246032620.0,19197912561.75,21255705558.0,0.04
calm,23879,20237008576.5,19303738593.75,21427531371.0,0.04
calm,23939,20234277292.5,19153375139.25,21400974402.75,0.04
calm,23999,20229184516.5,19191174959.25,21438652495.5,0.04
calm,24059,20291041728.0,19251167548.5,21528289842.75,0.04
calm,24119,20618547160.5,19715626125.0,21854717462.25,0.04
calm,24179,20847656214.0,19842441183.0,21786867078.75,0.04
calm,24239,20851384518.0,19818956745.0,21891738170.25,0.04
calm,24299,20779488067.5,19786370121.0,21809522655.0,0.04
calm,24359,20930684220.0,19860778050.75,21883375127.25,0.04
calm,24419,20698763922.0,19619187599.25,21540870850.5,0.04
calm,24479,20622182211.0,19509810626.25,21409533411.75,0.04
